"","interactive","little","big","tag"
"643","08.58.01.8",20,14,"0"
"644","08.58.01.8",20,14,"0"
"645","08.58.01.9",20,14,"0"
"646","08.58.02.0",20,14,"0"
"647","08.58.02.1",20,14,"0"
"648","08.58.02.2",20,14,"0"
"649","08.58.02.2",20,14,"0"
"650","08.58.02.3",20,14,"0"
"651","08.58.02.4",20,14,"0"
"652","08.58.02.5",20,14,"0"
"653","08.58.02.6",20,14,"0"
"654","08.58.02.7",20,14,"0"
"655","08.58.02.7",20,14,"0"
"656","08.58.02.8",20,14,"0"
"657","08.58.02.9",20,14,"0"
"658","08.58.03.0",20,14,"0"
"659","08.58.03.1",20,14,"0"
"660","08.58.03.1",20,14,"0"
"661","08.58.03.2",20,14,"0"
"662","08.58.03.3",20,14,"0"
"663","08.58.03.4",20,14,"0"
"664","08.58.03.5",20,14,"0"
"665","08.58.03.5",20,14,"0"
"666","08.58.03.6",20,14,"0"
"667","08.58.03.7",20,14,"0"
"668","08.58.03.8",20,14,"0"
"669","08.58.03.9",20,14,"0"
"670","08.58.03.9",20,14,"0"
"671","08.58.04.0",20,14,"0"
"672","08.58.04.1",20,14,"0"
"673","08.58.04.2",20,14,"0"
"674","08.58.04.3",20,14,"0"
"675","08.58.04.3",20,14,"0"
"676","08.58.04.4",20,14,"0"
"677","08.58.04.5",20,14,"0"
"678","08.58.04.6",20,14,"0"
"679","08.58.04.7",20,14,"0"
"680","08.58.04.8",20,14,"0"
"681","08.58.04.8",20,14,"0"
"682","08.58.04.9",20,14,"0"
"683","08.58.05.0",20,14,"0"
"684","08.58.05.1",20,14,"0"
"685","08.58.05.2",20,14,"0"
"686","08.58.05.2",20,14,"0"
"687","08.58.05.3",20,14,"0"
"688","08.58.05.4",20,14,"0"
"689","08.58.05.5",20,14,"0"
"690","08.58.05.6",20,14,"0"
"691","08.58.05.6",20,14,"0"
"692","08.58.05.7",20,14,"0"
"693","08.58.05.8",20,14,"0"
"694","08.58.05.9",20,14,"0"
"695","08.58.06.0",20,14,"0"
"696","08.58.06.0",20,14,"0"
"697","08.58.06.1",20,14,"0"
"698","08.58.06.2",20,14,"0"
"699","08.58.06.3",20,14,"0"
"700","08.58.06.4",20,14,"0"
"701","08.58.06.5",20,14,"0"
"702","08.58.06.5",20,14,"0"
"703","08.58.06.6",20,14,"0"
"704","08.58.06.7",20,14,"0"
"705","08.58.06.8",20,14,"0"
"706","08.58.06.9",20,14,"0"
"707","08.58.06.9",20,14,"0"
