,net,web,minEnergyCore,minEnergyFreq,minEnergy,minEnergyLoadTime,minEnergyEDP,minDelayCore,minDelayFreq,minDelay,minDelayEnergy,minDelayEDP,minEDPCore, minEDPFreq,minEDP,minEDPLoadTime,minEDPEnergy
26,regular_3g,ameba,lb,b8-l8,1.849201433,2.32,4.290147324,lb,b8-l8,2.32,1.849201433,4.290147324,lb,b8-l8,4.290147324,2.32,1.849201433
27,regular_3g,anonym,ll,b4-l4,0.52356373,1.334444444,0.69866671,lb,b8-l8,1.18,0.692681431,0.817364089,ll,b4-l4,0.69866671,1.334444444,0.52356373
28,regular_3g,answers,lb,b8-l8,1.613188843,2.414,3.894237867,lb,b8-l8,2.414,1.613188843,3.894237867,lb,b8-l8,3.894237867,2.414,1.613188843
29,regular_3g,anysex,ll,b4-l4,4.774622041,10.289,49.12608618,lb,b8-l8,7.106,6.345408692,45.09047416,ll,b4-l8,39.55728167,8.1925,4.828475029
30,regular_3g,aparat,lb,b4-l4,4.130819262,7.871111111,32.51413739,lb,b8-l8,7.201666667,5.152003591,37.10301253,lb,b4-l4,32.51413739,7.871111111,4.130819262
31,regular_3g,as,lb,b8-l4,5.447397544,7.68375,41.85644088,lb,b8-l8,6.75,5.567486726,37.5805354,lb,b8-l8,37.5805354,6.75,5.567486726
32,regular_3g,ashleyrnadison,lb,b4-l4,0.728851378,1.636666667,1.192886755,lb,b4-l8,1.528333333,0.81974954,1.252850547,lb,b4-l4,1.192886755,1.636666667,0.728851378
33,regular_3g,asos,ll,b4-l8,2.04078336,3.815,7.785588518,lb,b8-l8,3.154,2.301514265,7.258975992,lb,b8-l8,7.258975992,3.154,2.301514265
34,regular_3g,avast,lb,b4-l4,1.627454371,3.142222222,5.11382329,lb,b8-l8,2.418,1.74434052,4.217815378,lb,b8-l8,4.217815378,2.418,1.74434052
35,regular_3g,babycenter,ll,b4-l8,0.9830103,1.88,1.848059363,lb,b4-l8,1.703333333,0.991855178,1.689459986,lb,b4-l8,1.689459986,1.703333333,0.991855178
36,regular_3g,backpage,lb,b8-l4,1.03765799,1.75,1.815901482,lb,b8-l4,1.75,1.03765799,1.815901482,lb,b8-l4,1.815901482,1.75,1.03765799
